Date,Transaction_ID,Asset,Type,Exchange,Units,Price_Per_Unit,Fee_USD
1/2/2025,TX2001,BTC,Buy,Coinbase,0.5,92000,15.50
1/5/2025,TX2002,ETH,Buy,Binance,10,3200,12.25
1/10/2025,TX2003,SOL,Buy,Kraken,100,145,5.75
1/12/2025,TX2004,BTC,Sell,Coinbase,0.2,94000,9.80
1/15/2025,TX2005,ETH,Staking,Binance,0.05,3300,0.00
1/20/2025,TX2006,BTC,Buy,Binance,0.1,91500,3.10
2/2/2025,TX2007,SOL,Sell,Kraken,50,160,6.50
2/5/2025,TX2008,ADA,Buy,Coinbase,5000,0.80,12.50
2/8/2025,TX2009,BTC,Buy,Kraken,0.8,93000,19.20
2/14/2025,TX2010,ETH,Sell,Binance,2,3500,6.00
2/20/2025,TX2011,SOL,Buy,Coinbase,200,155,10.25
3/1/2025,TX2012,BTC,Sell,Coinbase,0.5,98000,35.50
3/5/2025,TX2013,ADA,Staking,Coinbase,15,0.85,0.00
3/10/2025,TX2014,ETH,Buy,Kraken,5,3800,18.50
3/12/2025,TX2015,SOL,Sell,Kraken,100,190,8.50
3/15/2025,TX2016,BTC,Buy,Binance,0.1,99000,7.80
4/2/2025,TX2017,ETH,Sell,Binance,3,3700,11.20
4/5/2025,TX2018,ADA,Sell,Coinbase,2000,0.90,7.00
4/10/2025,TX2019,SOL,Staking,Kraken,2,185,0.00
4/15/2025,TX2020,BTC,Sell,Kraken,0.1,96000,7.40
5/1/2025,TX2021,BTC,Buy,Coinbase,0.2,95000,7.00
5/5/2025,TX2022,ETH,Buy,Binance,4,3600,7.20
5/10/2025,TX2023,SOL,Buy,Kraken,50,175,4.50
5/15/2025,TX2024,ADA,Buy,Binance,1000,0.75,3.25
5/20/2025,TX2025,BTC,Sell,Coinbase,0.3,101000,21.50
