InvoiceID,InvoiceDate,Vendor,Amount,GL_Account,Dept,PaymentTerms,PO_Number,Status
AP-1001,2025-01-28, Spokane Water Dept ,620.40,6100,IT,NET30,PO-7808,Pending
AP-1002,01/10/2025,Acme Logistics,450.00,6100,IT,NET15,PO-7802,Posted
AP-1003,01/24/2025,United Parcel Service,450.00,6300,Warehouse,Net 15,PO-7810,Pending
AP-1004,01/27/2025,Spokane Water Dept,$250.00,6500,IT,NET15,PO-7804,Posted
AP-1005,2025-01-11, OMEGA AIR ,"1,245.00",7000,Ops,NET45,,Pending
AP-1006,01/08/2025,GlobexSoft,72.18,6100,IT,NET45,PO-7807,Pending
AP-1007,01/27/2025,United Parcel Service,$36.17,6100,Ops,NET45,,Posted
AP-1008,01/29/2025,Spokane Water Dept,$89.99,6300,Operations,Net30,PO-7810,Posted
AP-1009,01/12/2025,Staples,72.18,6100,Fin,Due on receipt,PO-7804,Pending
AP-1010,01/11/2025,Omega Air,89.99,6300,Warehouse,Net 15,PO-7810,Posted
AP-1011,01/03/2025,Acme Logistix,$1980.00,6300,FIN,NET30,PO-7804,Pending
AP-1012,2025-01-20,STAPLES,$72.18,6800,OPS,Due on receipt,PO-7810,Pending
AP-1013,01/24/2025,GlobexSoft,450.00,6100,IT,Net45,,Posted
AP-1014,01/05/2025,OmegaAir,$89.99,6100,Warehouse,Net 30,PO-7809,Posted
AP-1015,01/04/2025,Omega Air,89.99,6500,WH,NET15,PO-7801,Posted
AP-1016,01/09/2025,Globex Software,1980.00,7000,FIN,Net45,PO-7810,Pending
AP-1017,2025-01-08,Staples Inc,1980.00,6300,IT,NET30,PO-7802,Pending
AP-1018,01/11/2025, Amazon Marketplace ,72.18,6300,Ops,NET45,,Posted
AP-1019,01/22/2025,City Water Utility,450.00,7000,OPS,DOR,PO-7802,Posted
AP-1020,01/25/2025,Acme Logistix,$99.00,6100,Warehouse,NET15,,Pending
AP-1021,01/12/2025, Omega Air ,72.18,6300,Ops,DOR,,Posted
AP-1022,01/07/2025, UPS 0039 ,$620.40,7200,WH,DOR,PO-7805,Posted
AP-1023,01/07/2025, Globex Software ,89.99,6500,FIN,Net45,PO-7801,Posted
AP-1024,01/22/2025,Amazon Marketplace,450.00,6300,IT,Net 30,PO-7804,Posted
AP-1025,01/11/2025,City Water Utility,620.40,6800,FIN,Due on receipt,,Posted
AP-1026,01/11/2025,AMAZON MKTPLACE,99.00,7200,Warehouse,NET45,PO-7805,Posted
AP-1027,01/07/2025, UPS 0039 ,$620.40,7200,WH,DOR,PO-7805,Posted
AP-1028,01/07/2025, UPS 0039 ,$620.40,7200,WH,DOR,PO-7805,Posted
AP-1029,01/11/2025, Amazon Marketplace ,72.18,6300,Ops,NET45,,Posted
